ell  q  S
0.1748306729 0.1053522383 3.550214321
0.174718707 0.1053522383 3.528785897
0.1746038229 0.1053522383 3.507266089
0.1744859464 0.1053522383 3.485656811
0.1743650016 0.1053522383 3.463959981
0.1742409109 0.1053522383 3.442177526
0.1741135949 0.1053522383 3.420311382
0.1739829725 0.1053522383 3.39836349
0.1738489608 0.1053522383 3.3763358
0.1737114748 0.1053522383 3.35423027
0.1735704279 0.1053522383 3.332048861
0.1734257316 0.1053522383 3.309793545
0.1732772953 0.1053522383 3.287466299
0.1731250268 0.1053522383 3.265069105
0.1729688316 0.1053522383 3.242603954
0.1728086134 0.1053522383 3.22007284
0.1726442738 0.1053522383 3.197477765
0.1724757126 0.1053522383 3.174820736
0.1723028273 0.1053522383 3.152103766
0.1721255135 0.1053522383 3.129328872
0.1719436647 0.1053522383 3.106498077
0.1717571724 0.1053522383 3.08361341
0.1715659258 0.1053522383 3.060676902
0.1713698123 0.1053522383 3.037690593
0.1711687168 0.1053522383 3.014656522
0.1709625224 0.1053522383 2.991576737
0.1707511098 0.1053522383 2.968453286
0.1705343579 0.1053522383 2.945288226
0.1703121431 0.1053522383 2.922083612
0.1700843398 0.1053522383 2.898841506
0.1698508204 0.1053522383 2.875563973
0.1696114549 0.1053522383 2.85225308
0.1693661113 0.1053522383 2.828910898
0.1691146554 0.1053522383 2.8055395
0.1688569511 0.1053522383 2.782140962
0.1685928599 0.1053522383 2.758717363
0.1683222413 0.1053522383 2.735270783
0.1680449528 0.1053522383 2.711803305
0.1677608499 0.1053522383 2.688317014
0.1674697859 0.1053522383 2.664813995
0.1671716122 0.1053522383 2.641296336
0.1668661781 0.1053522383 2.617766127
0.1665533313 0.1053522383 2.594225457
0.1662329173 0.1053522383 2.570676417
0.1659047797 0.1053522383 2.547121099
0.1655687607 0.1053522383 2.523561596
0.1652247002 0.1053522383 2.5
0.164872437 0.1053522383 2.476438404
0.1645118076 0.1053522383 2.452878901
0.1641426476 0.1053522383 2.429323583
0.1637647905 0.1053522383 2.405774543
0.1633780688 0.1053522383 2.382233873
0.1629823135 0.1053522383 2.358703664
0.1625773541 0.1053522383 2.335186005
0.1621630194 0.1053522383 2.311682986
0.1617391366 0.1053522383 2.288196695
0.1613055323 0.1053522383 2.264729217
0.160862032 0.1053522383 2.241282637
0.1604084605 0.1053522383 2.217859038
0.159944642 0.1053522383 2.1944605
0.1594704 0.1053522383 2.171089102
0.1589855577 0.1053522383 2.14774692
0.158489938 0.1053522383 2.124436027
0.1579833638 0.1053522383 2.101158494
0.1574656579 0.1053522383 2.077916388
0.1569366431 0.1053522383 2.054711774
0.1563961428 0.1053522383 2.031546714
0.1558439809 0.1053522383 2.008423263
0.1552799817 0.1053522383 1.985343478
0.1547039706 0.1053522383 1.962309407
0.1541157739 0.1053522383 1.939323098
0.1535152191 0.1053522383 1.91638659
0.1529021354 0.1053522383 1.893501923
0.1522763532 0.1053522383 1.870671128
0.1516377052 0.1053522383 1.847896234
0.1509860257 0.1053522383 1.825179264
0.1503211516 0.1053522383 1.802522235
0.1496429224 0.1053522383 1.77992716
0.14895118 0.1053522383 1.757396046
0.1482457696 0.1053522383 1.734930895
0.1475265397 0.1053522383 1.712533701
0.1467933421 0.1053522383 1.690206455
0.1460460324 0.1053522383 1.667951139
0.1452844706 0.1053522383 1.64576973
0.1445085206 0.1053522383 1.6236642
0.1437180511 0.1053522383 1.60163651
0.1429129359 0.1053522383 1.579688618
0.1420930536 0.1053522383 1.557822474
0.1412582887 0.1053522383 1.536040019
0.1404085312 0.1053522383 1.514343189
0.1395436773 0.1053522383 1.492733911
0.1386636298 0.1053522383 1.471214103
0.137768298 0.1053522383 1.449785679
0.1368575984 0.1053522383 1.428450541
0.1359314548 0.1053522383 1.407210583
0.1349897988 0.1053522383 1.386067694
0.1340325701 0.1053522383 1.365023751
0.1330597166 0.1053522383 1.344080622
0.132071195 0.1053522383 1.32324017
0.131066971 0.1053522383 1.302504243
0.1300470199 0.1053522383 1.281874686
0.1290113264 0.1053522383 1.261353329
0.1279598854 0.1053522383 1.240941996
0.1268927023 0.1053522383 1.2206425
0.1258097931 0.1053522383 1.200456643
0.1247111848 0.1053522383 1.18038622
0.123596916 0.1053522383 1.160433013
0.1224670367 0.1053522383 1.140598793
0.1213216093 0.1053522383 1.120885323
0.1201607084 0.1053522383 1.101294355
0.1189844211 0.1053522383 1.081827627
0.1177928478 0.1042150297 1.06248687
0.1165861019 0.1028533575 1.043273801
0.1153643107 0.1014945864 1.024190127
0.1141276151 0.1001388126 1.005237542
0.1128761702 0.09878614124 0.9864177315
0.1116101457 0.09743668675 0.9677323659
0.1103297257 0.09609057189 0.9491831051
0.1090351095 0.09474792772 0.9307715968
0.1077265115 0.09340889321 0.9124994764
0.1064041614 0.09207361493 0.8943683671
0.1050683045 0.09074224681 0.8763798792
0.1037192021 0.08941494984 0.8585356106
0.1023571314 0.08809189181 0.8408371464
0.1009823858 0.08677324705 0.8232860587
0.09959527488 0.0854591962 0.8058839063
0.09819612487 0.08414992594 0.7886322352
0.0967852785 0.08284562881 0.7715325776
0.09536309521 0.0815465029 0.7545864525
0.09392995119 0.0802527517 0.7377953651
0.09248623949 0.07896458386 0.721160807
0.09103237004 0.07768221294 0.7046842556
0.08956876964 0.07640585725 0.6883671745
0.08809588202 0.0751357396 0.6722110132
0.08661416779 0.0738720871 0.6562172066
0.0851241044 0.07261513098 0.6403871755
0.08362618607 0.07136510636 0.6247223259
0.08212092369 0.07012225206 0.6092240494
0.08060884474 0.06888681037 0.5938937225
0.0790904931 0.06765902692 0.578732707
0.07756642893 0.06643915041 0.5637423495
0.07603722845 0.06522743244 0.5489239817
0.07450348373 0.06402412733 0.5342789197
0.07296580247 0.06282949189 0.5198084644
0.07142480768 0.06164378524 0.5055139012
0.06988113744 0.06046726864 0.4913964997
0.06833544452 0.05930020524 0.4774575141
0.06678839609 0.05814285994 0.4636981823
0.06524067328 0.05699549914 0.4501197267
0.06369297084 0.05585839061 0.4367233533
0.06214599663 0.05473180325 0.423510252
0.06060047123 0.05361600688 0.4104815966
0.05905712742 0.0525112721 0.3976385443
0.05751670969 0.05141787007 0.3849822358
0.05597997365 0.05033607231 0.3725137955
0.05444768553 0.04926615049 0.3602343308
0.05292062155 0.04820837629 0.3481449325
0.0513995673 0.04716302116 0.3362466744
0.04988531712 0.04613035614 0.3245406133
0.04837867344 0.04511065167 0.3130277892
