t  S  q  ell
0.357 4.056969451 0.5413493138 0.4913493138
0.3585 4.075334678 0.5415067356 0.4915067356
0.36 4.093559974 0.5416601259 0.4916601259
0.3615 4.111643722 0.5418095866 0.4918095866
0.363 4.129584313 0.5419552172 0.4919552172
0.3645 4.147380156 0.5420971145 0.4920971145
0.366 4.165029669 0.5422353729 0.4922353729
0.3675 4.182531284 0.5423700842 0.4923700842
0.369 4.199883447 0.5425013376 0.4925013376
0.3705 4.217084616 0.5426292204 0.4926292204
0.372 4.234133265 0.5427538171 0.4927538171
0.3735 4.251027877 0.5428752102 0.4928752102
0.375 4.267766953 0.54299348 0.49299348
0.3765 4.284349006 0.5431087045 0.4931087045
0.378 4.300772562 0.5432209597 0.4932209597
0.3795 4.317036164 0.5433303197 0.4933303197
0.381 4.333138366 0.5434368562 0.4934368562
0.3825 4.349077737 0.5435406392 0.4935406392
0.384 4.364852864 0.5436417369 0.4936417369
0.3855 4.380462343 0.5437402155 0.4937402155
0.387 4.395904788 0.5438361393 0.4938361393
0.3885 4.411178829 0.543929571 0.493929571
0.39 4.426283107 0.5440205715 0.4940205715
0.3915 4.441216282 0.5441092 0.4941092
0.393 4.455977026 0.544195514 0.494195514
0.3945 4.47056403 0.5442795695 0.4942795695
0.396 4.484975997 0.5443614209 0.4943614209
0.3975 4.499211646 0.5444411211 0.4944411211
0.399 4.513269714 0.5445187215 0.4945187215
0.4005 4.527148952 0.5445942719 0.4945942719
0.402 4.540848127 0.544667821 0.494667821
0.4035 4.554366022 0.5447394158 0.4947394158
0.405 4.567701436 0.5448091022 0.4948091022
0.4065 4.580853185 0.5448769246 0.4948769246
0.408 4.5938201 0.5449429263 0.4949429263
0.4095 4.60660103 0.5450071491 0.4950071491
0.411 4.61919484 0.5450696338 0.4950696338
0.4125 4.631600411 0.54513042 0.49513042
0.414 4.64381664 0.545189546 0.495189546
0.4155 4.655842444 0.5452470492 0.4952470492
0.417 4.667676753 0.5453029655 0.4953029655
0.4185 4.679318516 0.5453573302 0.4953573302
0.42 4.6907667 0.5454101773 0.4954101773
0.4215 4.702020287 0.5454615397 0.4954615397
0.423 4.713078278 0.5455114495 0.4955114495
0.4245 4.723939691 0.5455599377 0.4955599377
0.426 4.73460356 0.5456070344 0.4956070344
0.4275 4.745068939 0.5456527687 0.4956527687
0.429 4.755334898 0.5456971689 0.4956971689
0.4305 4.765400526 0.5457402624 0.4957402624
0.432 4.775264927 0.5457820755 0.4957820755
0.4335 4.784927226 0.5458226341 0.4958226341
0.435 4.794386564 0.5458619629 0.4958619629
0.4365 4.803642102 0.545900086 0.495900086
0.438 4.812693017 0.5459370266 0.4959370266
0.4395 4.821538505 0.5459728071 0.4959728071
0.441 4.830177781 0.5460074492 0.4960074492
0.4425 4.838610077 0.5460409741 0.4960409741
0.444 4.846834644 0.5460734018 0.4960734018
0.4455 4.854850752 0.546104752 0.496104752
0.447 4.862657688 0.5461350436 0.4961350436
0.4485 4.870254759 0.5461642947 0.4961642947
0.45 4.877641291 0.5461925228 0.4961925228
0.4515 4.884816626 0.546219745 0.496219745
0.453 4.891780129 0.5462459774 0.4962459774
0.4545 4.89853118 0.5462712356 0.4962712356
0.456 4.905069179 0.5462955347 0.4962955347
0.4575 4.911393546 0.5463188892 0.4963188892
0.459 4.917503719 0.5463413129 0.4963413129
0.4605 4.923399156 0.546362819 0.496362819
0.462 4.929079332 0.5463834202 0.4963834202
0.4635 4.934543744 0.5464031288 0.4964031288
0.465 4.939791905 0.5464219563 0.4964219563
0.4665 4.94482335 0.5464399138 0.4964399138
0.468 4.949637631 0.5464570119 0.4964570119
0.4695 4.954234321 0.5464732605 0.4964732605
0.471 4.958613012 0.5464886693 0.4964886693
0.4725 4.962773315 0.5465032471 0.4965032471
0.474 4.966714861 0.5465170026 0.4965170026
0.4755 4.970437298 0.5465299438 0.4965299438
0.477 4.973940297 0.5465420781 0.4965420781
0.4785 4.977223546 0.5465534127 0.4965534127
0.48 4.980286753 0.5465639542 0.4965639542
0.4815 4.983129648 0.5465737086 0.4965737086
0.483 4.985751976 0.5465826817 0.4965826817
0.4845 4.988153506 0.5465908786 0.4965908786
0.486 4.990334023 0.5465983042 0.4965983042
0.4875 4.992293334 0.5466049626 0.4966049626
0.489 4.994031266 0.5466108579 0.4966108579
0.4905 4.995547663 0.5466159933 0.4966159933
0.492 4.996842392 0.5466203718 0.4966203718
0.4935 4.997915336 0.546623996 0.496623996
0.495 4.998766401 0.546626868 0.496626868
0.4965 4.999395511 0.5466289894 0.4966289894
0.498 4.999802611 0.5466303614 0.4966303614
0.4995 4.999987663 0.5466309849 0.4966309849
0.501 4.999950652 0.5466310265 0.4966308602
0.5025 4.999691581 0.5466310265 0.4966299873
0.504 4.999210473 0.5466310265 0.4966283656
0.5055 4.998507371 0.5466310265 0.4966259941
0.507 4.997582337 0.5466310265 0.4966228716
0.5085 4.996435453 0.5466310265 0.4966189962
0.51 4.995066821 0.5466310265 0.4966143657
0.5115 4.993476563 0.5466310265 0.4966089774
0.513 4.99166482 0.5466310265 0.4966028281
0.5145 4.989631753 0.5466310265 0.4965959144
0.516 4.987377542 0.5466310265 0.4965882323
0.5175 4.984902389 0.5466310265 0.4965797771
0.519 4.982206511 0.5466310265 0.4965705442
0.5205 4.97929015 0.5466310265 0.4965605281
0.522 4.976153564 0.5466310265 0.4965497229
0.5235 4.972797032 0.5466310265 0.4965381225
0.525 4.969220851 0.5466310265 0.4965257201
0.5265 4.965425341 0.5466310265 0.4965125083
0.528 4.961410836 0.5466310265 0.4964984796
0.5295 4.957177695 0.5466310265 0.4964836258
0.531 4.952726294 0.5466310265 0.4964679381
0.5325 4.948057027 0.5466310265 0.4964514074
0.534 4.943170309 0.5466310265 0.496434024
0.5355 4.938066575 0.5466310265 0.4964157777
