ell  q
0.3622743819 0.3281759259
0.347750486 0.3211020093
0.3333177506 0.3140645926
0.3189786317 0.3070651759
0.304735586 0.3001052593
0.2905910713 0.2931863426
0.2765475474 0.2863099259
0.2626074769 0.2794775093
0.2487733253 0.2726905926
0.2350475625 0.2659506759
0.2214326626 0.2592592593
0.2079311052 0.2526178426
0.1945453755 0.2460279259
0.1812779651 0.2394910093
0.1681313724 0.2330085926
0.1551081033 0.2265821759
0.1422106716 0.2202132593
0.1294415994 0.2139033426
0.1168034175 0.2076539259
0.1042986662 0.2014665093
0.09192989513 0.1953425926
0.07969966409 0.1892836759
0.06761054312 0.1832912593
0.05566511289 0.1773668426
0.04386596503 0.1715119259
0.03221570235 0.1657280093
0.02071693906 0.1600165926
0.00937230102 0.1543791759
-0.0018155741 0.1488172593
-0.01284403667 0.1433323426
-0.02371042496 0.1379259259
-0.03441206505 0.1325995093
-0.04494627075 0.1273545926
-0.05531034356 0.1221926759
-0.06550157265 0.1171152593
-0.07551723483 0.1121238426
-0.08535459464 0.1072199259
-0.09501090438 0.1024050093
-0.1044834042 0.09768059259
-0.1137693221 0.09304817593
-0.1228658743 0.08850925926
-0.1317702651 0.08406534259
-0.1404796874 0.07971792593
-0.1489913226 0.07546850926
-0.157302341 0.07131859259
-0.1654099018 0.06726967593
-0.1733111537 0.06332325926
-0.181003235 0.05948084259
-0.188483274 0.05574392593
-0.1957483891 0.05211400926
-0.2027956894 0.04859259259
-0.2096222749 0.04518117593
-0.2162252368 0.04188125926
-0.2226016582 0.03869434259
-0.2287486141 0.03562192593
-0.234663172 0.03266550926
-0.2403423922 0.02982659259
-0.2457833285 0.02710667593
-0.2509830282 0.02450725926
-0.2559385329 0.02202984259
-0.2606468786 0.01967592593
-0.2651050963 0.01744700926
-0.2693102126 0.01534459259
-0.2732592498 0.01337017593
-0.2769492263 0.01152525926
-0.2803771574 0.009811342593
-0.2835400552 0.008229925926
-0.2864349295 0.006782509259
-0.2890587875 0.005470592593
-0.2914086349 0.004295675926
-0.2934814757 0.003259259259
-0.2952743126 0.002362842593
-0.2967841475 0.001607925926
-0.2980079813 0.0009960092593
-0.2989428148 0.0005285925926
-0.2995856481 0.0002071759259
-0.2999334815 3.325925929e-05
-0.299 9.612976918e-17
-0.296 9.612976918e-17
-0.293 9.612976918e-17
-0.29 9.612976918e-17
-0.287 9.612976918e-17
-0.284 9.612976918e-17
-0.281 9.612976918e-17
-0.278 9.612976918e-17
-0.275 9.612976918e-17
-0.272 9.612976918e-17
-0.269 9.612976918e-17
-0.266 9.612976918e-17
-0.263 9.612976918e-17
-0.26 9.612976918e-17
-0.257 9.612976918e-17
-0.254 9.612976918e-17
-0.251 9.612976918e-17
-0.248 9.612976918e-17
-0.245 9.612976918e-17
-0.242 9.612976918e-17
-0.239 9.612976918e-17
-0.236 9.612976918e-17
-0.233 9.612976918e-17
-0.23 9.612976918e-17
-0.227 9.612976918e-17
-0.224 9.612976918e-17
-0.221 9.612976918e-17
-0.218 9.612976918e-17
-0.215 9.612976918e-17
-0.212 9.612976918e-17
-0.209 9.612976918e-17
-0.206 9.612976918e-17
-0.203 9.612976918e-17
-0.2 9.612976918e-17
-0.197 9.612976918e-17
-0.194 9.612976918e-17
-0.191 9.612976918e-17
-0.188 9.612976918e-17
-0.185 9.612976918e-17
-0.182 9.612976918e-17
-0.179 9.612976918e-17
-0.176 9.612976918e-17
-0.173 9.612976918e-17
-0.17 9.612976918e-17
-0.167 9.612976918e-17
-0.164 9.612976918e-17
-0.161 9.612976918e-17
-0.158 9.612976918e-17
-0.155 9.612976918e-17
-0.152 9.612976918e-17
-0.149 9.612976918e-17
-0.146 9.612976918e-17
-0.143 9.612976918e-17
-0.14 9.612976918e-17
-0.137 9.612976918e-17
-0.134 9.612976918e-17
-0.131 9.612976918e-17
-0.128 9.612976918e-17
-0.125 9.612976918e-17
-0.122 9.612976918e-17
-0.119 9.612976918e-17
-0.116 9.612976918e-17
-0.113 9.612976918e-17
-0.11 9.612976918e-17
-0.107 9.612976918e-17
-0.104 9.612976918e-17
-0.101 9.612976918e-17
-0.098 9.612976918e-17
-0.095 9.612976918e-17
-0.092 9.612976918e-17
-0.089 9.612976918e-17
-0.086 9.612976918e-17
-0.083 9.612976918e-17
-0.08 9.612976918e-17
-0.077 9.612976918e-17
-0.074 9.612976918e-17
-0.071 9.612976918e-17
-0.068 9.612976918e-17
-0.065 9.612976918e-17
-0.062 9.612976918e-17
-0.059 9.612976918e-17
-0.056 9.612976918e-17
-0.053 9.612976918e-17
-0.05 9.612976918e-17
-0.047 9.612976918e-17
-0.044 9.612976918e-17
-0.041 9.612976918e-17
-0.038 9.612976918e-17
-0.035 9.612976918e-17
-0.032 9.612976918e-17
-0.029 9.612976918e-17
-0.026 9.612976918e-17
-0.023 9.612976918e-17
-0.02 9.612976918e-17
-0.017 9.612976918e-17
-0.014 9.612976918e-17
-0.011 9.612976918e-17
-0.008 9.612976918e-17
-0.005 9.612976918e-17
-0.002 9.612976918e-17
0 9.612976918e-17
