ell  q
0.4907940903 0.1966310265
0.4906179506 0.1966310265
0.4904371873 0.1966310265
0.4902516799 0.1966310265
0.490061305 0.1966310265
0.4898659357 0.1966310265
0.489665442 0.1966310265
0.4894596907 0.1966310265
0.4892485448 0.1966310265
0.4890318643 0.1966310265
0.4888095052 0.1966310265
0.4885813201 0.1966310265
0.4883471581 0.1966310265
0.488106864 0.1966310265
0.4878602792 0.1966310265
0.4876072411 0.1966310265
0.487347583 0.1966310265
0.487081134 0.1966310265
0.4868077195 0.1966310265
0.4865271602 0.1966310265
0.4862392728 0.1966310265
0.4859438694 0.1966310265
0.485640758 0.1966310265
0.4853297417 0.1966310265
0.4850106191 0.1966310265
0.4846831843 0.1966310265
0.4843472266 0.1966310265
0.4840025302 0.1966310265
0.4836488748 0.1966310265
0.4832860348 0.1966310265
0.4829137799 0.1966310265
0.4825318744 0.1966310265
0.4821400775 0.1966310265
0.4817381433 0.1966310265
0.4813258204 0.1966310265
0.4809028522 0.1966310265
0.4804689766 0.1966310265
0.480023926 0.1966310265
0.4795674272 0.1966310265
0.4790992015 0.1966310265
0.4786189646 0.1966310265
0.4781264263 0.1966310265
0.4776212909 0.1966310265
0.4771032566 0.1966310265
0.4765720162 0.1966310265
0.4760272563 0.1966310265
0.4754686577 0.1966310265
0.4748958954 0.1966310265
0.4743086384 0.1966310265
0.4737065496 0.1966310265
0.4730892863 0.1966310265
0.4724564995 0.1966310265
0.4718078343 0.1966310265
0.4711429301 0.1966310265
0.4704614201 0.1966310265
0.4697629317 0.1966310265
0.4690470863 0.1966310265
0.4683134996 0.1966310265
0.4675617814 0.1966310265
0.4667915357 0.1966310265
0.4660023609 0.1966310265
0.4651938497 0.1966310265
0.4643655894 0.1966310265
0.4635171615 0.1966310265
0.4626481425 0.1966310265
0.4617581035 0.1966310265
0.4608466104 0.1966310265
0.4599132241 0.1966310265
0.4589575007 0.1966310265
0.4579789915 0.1966310265
0.4569772435 0.1966310265
0.4559517988 0.1966310265
0.4549021959 0.1966310265
0.453827969 0.1966310265
0.4527286485 0.1966310265
0.4516037615 0.1966310265
0.4504528316 0.1966310265
0.4492753795 0.1966310265
0.4480709231 0.1966310265
0.4468389778 0.1966310265
0.445579057 0.1966310265
0.4442906722 0.1966310265
0.4429733332 0.1966310265
0.4416265491 0.1966310265
0.4402498279 0.1966310265
0.4388426773 0.1966310265
0.4374046052 0.1966310265
0.4359351197 0.1966310265
0.4344337301 0.1966310265
0.4328999469 0.1966310265
0.4313332825 0.1966310265
0.4297332516 0.1966310265
0.4280993719 0.1966310265
0.4264311643 0.1966310265
0.4247281539 0.1966310265
0.4229898701 0.1966310265
0.4212158477 0.1966310265
0.4194056269 0.1966310265
0.4175587545 0.1966310265
0.4156747843 0.1966310265
0.4137532777 0.1966310265
0.4117938045 0.1966310265
0.4097959436 0.1966310265
0.4077592835 0.1966310265
0.4056834234 0.1966310265
0.4035679738 0.1966310265
0.4014125572 0.1966310265
0.3992168087 0.1966310265
0.3969803775 0.1966310265
0.3947029267 0.1966310265
0.3923841352 0.1966310265
0.3900236977 0.1966310265
0.3876213258 0.1966310265
0.3851767494 0.1966310265
0.3826897166 0.1966310265
0.3801599954 0.1966310265
0.3775873744 0.1966310265
0.3749716634 0.1966310265
0.3723126947 0.1966310265
0.3696103238 0.1966310265
0.3668644305 0.1966310265
0.3640749195 0.1966310265
0.3612417219 0.1966310265
0.3583647955 0.1966310265
0.3554441262 0.1966310265
0.3524797287 0.1966310265
0.3494716475 0.1966310265
0.3464199579 0.1966310265
0.3433247666 0.1966310265
0.3401862131 0.1966310265
0.3370044703 0.1966310265
0.3337797454 0.1966310265
0.3305122808 0.1966310265
0.3272023549 0.1966310265
0.3238502831 0.1966310265
0.3204564186 0.1966310265
0.317021153 0.1966310265
0.3135449173 0.1966310265
0.3100281824 0.1966310265
0.3064714603 0.1966310265
0.3028753043 0.1966310265
0.2992403097 0.1966310265
0.2955671149 0.1966310265
0.2918564014 0.1966310265
0.2881088948 0.1966310265
0.2843253651 0.1966310265
0.2805066272 0.1966310265
0.2766535413 0.1966310265
0.2727670135 0.1966310265
0.2688479958 0.1966310265
0.2648974867 0.1966310265
0.2609165311 0.1966310265
0.2569062208 0.1966310265
0.2528676945 0.1966310265
0.2488021379 0.1966310265
0.2447107834 0.1966310265
0.2405949105 0.1966310265
0.2364558456 0.1966310265
0.2322949613 0.1966310265
0.2281136769 0.1966310265
0.2239134576 0.1966310265
0.2196958142 0.1966310265
0.2154623026 0.1966310265
0.2112145235 0.1966310265
0.2069541215 0.1966310265
0.2026827846 0.1966310265
0.1984022436 0.1966310265
0.1941142707 0.1966310265
0.1898206792 0.1966310265
0.1855233225 0.1966310265
0.1812240925 0.1966310265
0.176924919 0.1966310265
0.1726277684 0.1966310265
0.1683346423 0.1966310265
0.1640475762 0.1966310265
0.159768638 0.1966310265
0.1554999268 0.1966310265
0.1512435709 0.1966310265
0.1470017265 0.1966310265
0.1427765758 0.1966310265
0.1385703253 0.1966310265
0.134385204 0.1966310265
0.1302234612 0.1966310265
0.1260873651 0.1966310265
0.1219792 0.1966310265
0.117901265 0.1966310265
0.1138558712 0.1966310265
0.1098453399 0.1966310265
0.105872 0.1966310265
0.1019381862 0.1966310265
0.09804623606 0.1966310265
0.09419848807 0.1966310265
0.09039727897 0.1966310265
0.08664494139 0.1966310265
0.08294380131 0.1966310265
0.07929617556 0.1966310265
0.07570436927 0.1966310265
0.0721706733 0.1966310265
0.06869736166 0.1966310265
0.06528668894 0.1966310265
0.06194088768 0.1966310265
0.05866216577 0.1966310265
0.0554527039 0.1966310265
0.0523146529 0.1966310265
0.04925013122 0.1966310265
0.04626122232 0.1966310265
0.04334997214 0.1966310265
0.0405183866 0.1966310265
0.03776842909 0.1966310265
0.035102018 0.1966310265
0.03252102434 0.1966310265
0.03002726932 0.1966310265
0.02762252207 0.1966310265
0.02530849733 0.1966310265
0.02308685325 0.1966310265
0.02095918921 0.1966310265
0.01892704378 0.1966310265
0.01699189261 0.1966310265
0.01515514658 0.1966310265
